Field Path,Type(s),Files Present,Total Occurrences,Null Count,Null %,Is List,List Info,Sample Values
data.content.lineup.awayTeam.starters[2].marketValue,int(2),2,2,0,0.0%,No,,"[919135, 50000]"
data.content.lineup.awayTeam.starters[2].name,str(9),9,9,0,0.0%,No,,"['Lana Golob', 'Emily Sams', 'Kysha Sylla']"
data.content.lineup.awayTeam.starters[2].optaId,str(6),6,6,0,0.0%,No,,"['14', '29', '27']"
data.content.lineup.awayTeam.starters[2].performance,dict(8),8,8,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].performance.events,list(3),3,3,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.lineup.awayTeam.starters[2].performance.events[0],dict(3),3,3,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].performance.events[0].time,int(1),1,1,0,0.0%,No,,[86]
data.content.lineup.awayTeam.starters[2].performance.events[0].type,str(3),3,3,0,0.0%,No,,"['redCard', 'yellowCard']"
data.content.lineup.awayTeam.starters[2].performance.fantasyScore,str(1),1,1,0,0.0%,No,,['1']
data.content.lineup.awayTeam.starters[2].performance.rating,float(5),5,5,0,0.0%,No,,"[6.3, 5.9, 6.5]"
data.content.lineup.awayTeam.starters[2].performance.substitutionEvents,list(2),2,2,0,0.0%,Yes,"min:1, max:1, avg:1.0",N/A
data.content.lineup.awayTeam.starters[2].performance.substitutionEvents[0],dict(2),2,2,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].performance.substitutionEvents[0].reason,str(2),2,2,0,0.0%,No,,['unknown']
data.content.lineup.awayTeam.starters[2].performance.substitutionEvents[0].time,int(2),2,2,0,0.0%,No,,"[46, 62]"
data.content.lineup.awayTeam.starters[2].performance.substitutionEvents[0].type,str(2),2,2,0,0.0%,No,,['subOut']
data.content.lineup.awayTeam.starters[2].positionId,int(9),9,9,0,0.0%,No,,"[34, 35]"
data.content.lineup.awayTeam.starters[2].rankings,null(9),9,9,9,100.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].shirtNumber,str(9),9,9,0,0.0%,No,,"['5', '6', '25']"
data.content.lineup.awayTeam.starters[2].usualPlayingPositionId,int(9),9,9,0,0.0%,No,,[1]
data.content.lineup.awayTeam.starters[2].verticalLayout,dict(9),9,9,0,0.0%,No,,N/A
data.content.lineup.awayTeam.starters[2].verticalLayout.height,float(9),9,9,0,0.0%,No,,"[0.2, 0.192]"
data.content.lineup.awayTeam.starters[2].verticalLayout.width,float(9),9,9,0,0.0%,No,,"[0.25, 0.29, 0.195]"
data.content.lineup.awayTeam.starters[2].verticalLayout.x,float(9),9,9,0,0.0%,No,,"[0.375, 0.5]"
data.content.lineup.awayTeam.starters[2].verticalLayout.y,float(9),9,9,0,0.0%,No,,"[0.357, 0.292]"
